sample,operation,node_id,status,latency_us,value
0,read,ns=2;s=SDPLC.tank.level,Good,50.078000,498.700
1,read,ns=2;s=SDPLC.tank.level,Good,50.078000,371.200
2,read,ns=2;s=SDPLC.tank.level,Good,50.078000,366.600
3,read,ns=2;s=SDPLC.tank.level,Good,50.078000,332.800
4,read,ns=2;s=SDPLC.tank.level,Good,50.078000,329.000
5,read,ns=2;s=SDPLC.tank.level,Good,50.078000,376.900
6,read,ns=2;s=SDPLC.tank.level,Good,50.079000,445.300
7,read,ns=2;s=SDPLC.tank.level,Good,50.079000,367.900
8,read,ns=2;s=SDPLC.tank.level,Good,50.079000,438.800
9,read,ns=2;s=SDPLC.tank.level,Good,50.079000,447.000
10,read,ns=2;s=SDPLC.tank.level,Good,50.079000,513.300
11,read,ns=2;s=SDPLC.tank.level,Good,50.079000,491.100
12,read,ns=2;s=SDPLC.tank.level,Good,50.079000,508.200
13,read,ns=2;s=SDPLC.tank.level,Good,50.079000,611.200
14,read,ns=2;s=SDPLC.tank.level,Good,50.079000,397.500
15,read,ns=2;s=SDPLC.tank.level,Good,50.079000,665.300
16,read,ns=2;s=SDPLC.tank.level,Good,50.079000,488.000
17,read,ns=2;s=SDPLC.tank.level,Good,50.079000,417.500
18,read,ns=2;s=SDPLC.tank.level,Good,50.079000,496.100
19,read,ns=2;s=SDPLC.tank.level,Good,50.079000,456.200
20,read,ns=2;s=SDPLC.tank.level,Good,50.079000,492.500
21,read,ns=2;s=SDPLC.tank.level,Good,50.079000,518.600
22,read,ns=2;s=SDPLC.tank.level,Good,50.079000,536.900
23,read,ns=2;s=SDPLC.tank.level,Good,50.079000,675.200
24,read,ns=2;s=SDPLC.tank.level,Good,50.079000,757.700
25,read,ns=2;s=SDPLC.tank.level,Good,50.079000,621.500
26,read,ns=2;s=SDPLC.tank.level,Good,50.080000,732.600
27,read,ns=2;s=SDPLC.tank.level,Good,50.080000,611.900
28,read,ns=2;s=SDPLC.tank.level,Good,50.080000,389.500
29,read,ns=2;s=SDPLC.tank.level,Good,50.080000,424.600
30,read,ns=2;s=SDPLC.tank.level,Good,50.080000,474.500
31,read,ns=2;s=SDPLC.tank.level,Good,50.080000,451.400
32,read,ns=2;s=SDPLC.tank.level,Good,50.080000,480.600
33,read,ns=2;s=SDPLC.tank.level,Good,50.080000,411.300
34,read,ns=2;s=SDPLC.tank.level,Good,50.080000,444.400
35,read,ns=2;s=SDPLC.tank.level,Good,50.080000,429.500
36,read,ns=2;s=SDPLC.tank.level,Good,50.080000,430.900
37,read,ns=2;s=SDPLC.tank.level,Good,50.080000,559.200
38,read,ns=2;s=SDPLC.tank.level,Good,50.080000,697.300
39,read,ns=2;s=SDPLC.tank.level,Good,50.080000,560.500
40,read,ns=2;s=SDPLC.tank.level,Good,50.080000,499.400
41,read,ns=2;s=SDPLC.tank.level,Good,50.080000,385.400
42,read,ns=2;s=SDPLC.tank.level,Good,50.080000,350.700
43,read,ns=2;s=SDPLC.tank.level,Good,50.080000,319.800
44,read,ns=2;s=SDPLC.tank.level,Good,50.080000,346.200
45,read,ns=2;s=SDPLC.tank.level,Good,50.080000,365.200
46,read,ns=2;s=SDPLC.tank.level,Good,50.081000,437.000
