sample,operation,node_id,status,latency_us,value
0,write,ns=2;s=SDPLC.tank.air_flow,Good,375.200,42.500000
1,write,ns=2;s=SDPLC.tank.air_flow,Good,327.800,42.600000
2,write,ns=2;s=SDPLC.tank.air_flow,Good,343.600,42.700000
3,write,ns=2;s=SDPLC.tank.air_flow,Good,322.500,42.800000
4,write,ns=2;s=SDPLC.tank.air_flow,Good,311.300,42.900000
5,write,ns=2;s=SDPLC.tank.air_flow,Good,371.700,43.000000
6,write,ns=2;s=SDPLC.tank.air_flow,Good,372.500,43.100000
7,write,ns=2;s=SDPLC.tank.air_flow,Good,392.000,43.200000
8,write,ns=2;s=SDPLC.tank.air_flow,Good,318.100,43.300000
9,write,ns=2;s=SDPLC.tank.air_flow,Good,310.300,43.400000
10,write,ns=2;s=SDPLC.tank.air_flow,Good,319.200,43.500000
11,write,ns=2;s=SDPLC.tank.air_flow,Good,307.700,43.600000
12,write,ns=2;s=SDPLC.tank.air_flow,Good,442.900,43.700000
13,write,ns=2;s=SDPLC.tank.air_flow,Good,350.600,43.800000
14,write,ns=2;s=SDPLC.tank.air_flow,Good,340.800,43.900000
15,write,ns=2;s=SDPLC.tank.air_flow,Good,373.600,44.000000
16,write,ns=2;s=SDPLC.tank.air_flow,Good,329.900,44.100000
17,write,ns=2;s=SDPLC.tank.air_flow,Good,353.300,44.200000
18,write,ns=2;s=SDPLC.tank.air_flow,Good,323.400,44.300000
19,write,ns=2;s=SDPLC.tank.air_flow,Good,334.400,44.400000
20,write,ns=2;s=SDPLC.tank.air_flow,Good,374.200,42.500000
21,write,ns=2;s=SDPLC.tank.air_flow,Good,315.900,42.600000
22,write,ns=2;s=SDPLC.tank.air_flow,Good,308.600,42.700000
23,write,ns=2;s=SDPLC.tank.air_flow,Good,298.700,42.800000
24,write,ns=2;s=SDPLC.tank.air_flow,Good,357.900,42.900000
25,write,ns=2;s=SDPLC.tank.air_flow,Good,363.100,43.000000
26,write,ns=2;s=SDPLC.tank.air_flow,Good,432.700,43.100000
27,write,ns=2;s=SDPLC.tank.air_flow,Good,476.400,43.200000
28,write,ns=2;s=SDPLC.tank.air_flow,Good,397.000,43.300000
29,write,ns=2;s=SDPLC.tank.air_flow,Good,400.800,43.400000
30,write,ns=2;s=SDPLC.tank.air_flow,Good,407.300,43.500000
31,write,ns=2;s=SDPLC.tank.air_flow,Good,397.600,43.600000
32,write,ns=2;s=SDPLC.tank.air_flow,Good,388.100,43.700000
33,write,ns=2;s=SDPLC.tank.air_flow,Good,393.900,43.800000
34,write,ns=2;s=SDPLC.tank.air_flow,Good,458.200,43.900000
35,write,ns=2;s=SDPLC.tank.air_flow,Good,334.200,44.000000
36,write,ns=2;s=SDPLC.tank.air_flow,Good,318.100,44.100000
37,write,ns=2;s=SDPLC.tank.air_flow,Good,310.400,44.200000
38,write,ns=2;s=SDPLC.tank.air_flow,Good,377.500,44.300000
39,write,ns=2;s=SDPLC.tank.air_flow,Good,395.900,44.400000
40,write,ns=2;s=SDPLC.tank.air_flow,Good,392.500,42.500000
41,write,ns=2;s=SDPLC.tank.air_flow,Good,371.600,42.600000
42,write,ns=2;s=SDPLC.tank.air_flow,Good,339.200,42.700000
43,write,ns=2;s=SDPLC.tank.air_flow,Good,353.100,42.800000
44,write,ns=2;s=SDPLC.tank.air_flow,Good,332.600,42.900000
45,write,ns=2;s=SDPLC.tank.air_flow,Good,337.200,43.000000
46,write,ns=2;s=SDPLC.tank.air_flow,Good,322.100,43.100000
47,write,ns=2;s=SDPLC.tank.air_flow,Good,324.600,43.200000
48,write,ns=2;s=SDPLC.tank.air_flow,Good,321.200,43.300000
49,write,ns=2;s=SDPLC.tank.air_flow,Good,433.800,43.400000
50,write,ns=2;s=SDPLC.tank.air_flow,Good,407.900,43.500000
51,write,ns=2;s=SDPLC.tank.air_flow,Good,397.900,43.600000
52,write,ns=2;s=SDPLC.tank.air_flow,Good,403.500,43.700000
53,write,ns=2;s=SDPLC.tank.air_flow,Good,330.200,43.800000
54,write,ns=2;s=SDPLC.tank.air_flow,Good,346.800,43.900000
55,write,ns=2;s=SDPLC.tank.air_flow,Good,421.300,44.000000
56,write,ns=2;s=SDPLC.tank.air_flow,Good,418.400,44.100000
57,write,ns=2;s=SDPLC.tank.air_flow,Good,422.600,44.200000
58,write,ns=2;s=SDPLC.tank.air_flow,Good,341.100,44.300000
59,write,ns=2;s=SDPLC.tank.air_flow,Good,389.000,44.400000
60,write,ns=2;s=SDPLC.tank.air_flow,Good,363.700,42.500000
61,write,ns=2;s=SDPLC.tank.air_flow,Good,374.900,42.600000
62,write,ns=2;s=SDPLC.tank.air_flow,Good,439.400,42.700000
63,write,ns=2;s=SDPLC.tank.air_flow,Good,354.100,42.800000
64,write,ns=2;s=SDPLC.tank.air_flow,Good,331.300,42.900000
65,write,ns=2;s=SDPLC.tank.air_flow,Good,391.100,43.000000
66,write,ns=2;s=SDPLC.tank.air_flow,Good,475.200,43.100000
67,write,ns=2;s=SDPLC.tank.air_flow,Good,396.300,43.200000
68,write,ns=2;s=SDPLC.tank.air_flow,Good,433.200,43.300000
69,write,ns=2;s=SDPLC.tank.air_flow,Good,352.100,43.400000
70,write,ns=2;s=SDPLC.tank.air_flow,Good,382.700,43.500000
71,write,ns=2;s=SDPLC.tank.air_flow,Good,475.000,43.600000
72,write,ns=2;s=SDPLC.tank.air_flow,Good,373.200,43.700000
73,write,ns=2;s=SDPLC.tank.air_flow,Good,450.800,43.800000
74,write,ns=2;s=SDPLC.tank.air_flow,Good,361.600,43.900000
75,write,ns=2;s=SDPLC.tank.air_flow,Good,312.300,44.000000
