sample,operation,node_id,status,latency_us,value
0,read,ns=2;s=SDPLC.tank.level,Good,50.782000,825.103
1,read,ns=2;s=SDPLC.tank.level,Good,50.782000,736.474
2,read,ns=2;s=SDPLC.tank.level,Good,50.782000,617.360
3,read,ns=2;s=SDPLC.tank.level,Good,50.782000,574.837
4,read,ns=2;s=SDPLC.tank.level,Good,50.782000,616.731
5,read,ns=2;s=SDPLC.tank.level,Good,50.782000,678.037
6,read,ns=2;s=SDPLC.tank.level,Good,50.782000,567.124
7,read,ns=2;s=SDPLC.tank.level,Good,50.782000,581.975
8,read,ns=2;s=SDPLC.tank.level,Good,50.782000,556.217
9,read,ns=2;s=SDPLC.tank.level,Good,50.782000,668.308
10,read,ns=2;s=SDPLC.tank.level,Good,50.782000,559.581
11,read,ns=2;s=SDPLC.tank.level,Good,50.782000,618.186
12,read,ns=2;s=SDPLC.tank.level,Good,50.782000,591.009
13,read,ns=2;s=SDPLC.tank.level,Good,50.782000,564.477
14,read,ns=2;s=SDPLC.tank.level,Good,50.782000,583.630
15,read,ns=2;s=SDPLC.tank.level,Good,50.782000,530.592
16,read,ns=2;s=SDPLC.tank.level,Good,50.783000,529.564
17,read,ns=2;s=SDPLC.tank.level,Good,50.783000,512.676
18,read,ns=2;s=SDPLC.tank.level,Good,50.783000,573.762
19,read,ns=2;s=SDPLC.tank.level,Good,50.783000,533.203
20,read,ns=2;s=SDPLC.tank.level,Good,50.783000,519.513
21,read,ns=2;s=SDPLC.tank.level,Good,50.783000,570.303
22,read,ns=2;s=SDPLC.tank.level,Good,50.783000,563.051
23,read,ns=2;s=SDPLC.tank.level,Good,50.783000,525.590
24,read,ns=2;s=SDPLC.tank.level,Good,50.783000,518.654
25,read,ns=2;s=SDPLC.tank.level,Good,50.783000,521.666
26,read,ns=2;s=SDPLC.tank.level,Good,50.783000,459.104
27,read,ns=2;s=SDPLC.tank.level,Good,50.783000,469.031
28,read,ns=2;s=SDPLC.tank.level,Good,50.783000,472.022
29,read,ns=2;s=SDPLC.tank.level,Good,50.783000,444.337
30,read,ns=2;s=SDPLC.tank.level,Good,50.783000,472.191
31,read,ns=2;s=SDPLC.tank.level,Good,50.783000,533.649
32,read,ns=2;s=SDPLC.tank.level,Good,50.783000,530.956
33,read,ns=2;s=SDPLC.tank.level,Good,50.783000,529.686
34,read,ns=2;s=SDPLC.tank.level,Good,50.783000,470.700
35,read,ns=2;s=SDPLC.tank.level,Good,50.784000,650.053
36,read,ns=2;s=SDPLC.tank.level,Good,50.784000,514.398
37,read,ns=2;s=SDPLC.tank.level,Good,50.784000,558.908
38,read,ns=2;s=SDPLC.tank.level,Good,50.784000,556.801
39,read,ns=2;s=SDPLC.tank.level,Good,50.784000,537.272
40,read,ns=2;s=SDPLC.tank.level,Good,50.784000,541.223
41,read,ns=2;s=SDPLC.tank.level,Good,50.784000,480.085
42,read,ns=2;s=SDPLC.tank.level,Good,50.784000,543.523
43,read,ns=2;s=SDPLC.tank.level,Good,50.784000,505.775
44,read,ns=2;s=SDPLC.tank.level,Good,50.784000,477.666
45,read,ns=2;s=SDPLC.tank.level,Good,50.784000,478.498
46,read,ns=2;s=SDPLC.tank.level,Good,50.784000,538.880
47,read,ns=2;s=SDPLC.tank.level,Good,50.784000,518.761
48,read,ns=2;s=SDPLC.tank.level,Good,50.784000,521.016
49,read,ns=2;s=SDPLC.tank.level,Good,50.784000,557.315
50,read,ns=2;s=SDPLC.tank.level,Good,50.784000,501.740
51,read,ns=2;s=SDPLC.tank.level,Good,50.784000,488.462
52,read,ns=2;s=SDPLC.tank.level,Good,50.784000,479.443
53,read,ns=2;s=SDPLC.tank.level,Good,50.784000,456.522
54,read,ns=2;s=SDPLC.tank.level,Good,50.785000,521.928
55,read,ns=2;s=SDPLC.tank.level,Good,50.785000,488.734
56,read,ns=2;s=SDPLC.tank.level,Good,50.785000,637.380
57,read,ns=2;s=SDPLC.tank.level,Good,50.785000,486.728
58,read,ns=2;s=SDPLC.tank.level,Good,50.785000,546.521
59,read,ns=2;s=SDPLC.tank.level,Good,50.785000,531.438
60,read,ns=2;s=SDPLC.tank.level,Good,50.785000,523.813
61,read,ns=2;s=SDPLC.tank.level,Good,50.785000,592.539
62,read,ns=2;s=SDPLC.tank.level,Good,50.785000,508.988
63,read,ns=2;s=SDPLC.tank.level,Good,50.785000,543.403
64,read,ns=2;s=SDPLC.tank.level,Good,50.785000,518.177
65,read,ns=2;s=SDPLC.tank.level,Good,50.785000,594.635
66,read,ns=2;s=SDPLC.tank.level,Good,50.785000,494.117
67,read,ns=2;s=SDPLC.tank.level,Good,50.785000,498.563
68,read,ns=2;s=SDPLC.tank.level,Good,50.785000,455.618
69,read,ns=2;s=SDPLC.tank.level,Good,50.785000,437.759
70,read,ns=2;s=SDPLC.tank.level,Good,50.785000,444.094
71,read,ns=2;s=SDPLC.tank.level,Good,50.785000,462.332
72,read,ns=2;s=SDPLC.tank.level,Good,50.785000,402.979
73,read,ns=2;s=SDPLC.tank.level,Good,50.786000,404.750
74,read,ns=2;s=SDPLC.tank.level,Good,50.786000,468.117
75,read,ns=2;s=SDPLC.tank.level,Good,50.786000,470.174
76,read,ns=2;s=SDPLC.tank.level,Good,50.786000,557.094
77,read,ns=2;s=SDPLC.tank.level,Good,50.786000,491.947
78,read,ns=2;s=SDPLC.tank.level,Good,50.786000,528.586
79,read,ns=2;s=SDPLC.tank.level,Good,50.786000,502.064
80,read,ns=2;s=SDPLC.tank.level,Good,50.786000,567.653
81,read,ns=2;s=SDPLC.tank.level,Good,50.786000,557.469
82,read,ns=2;s=SDPLC.tank.level,Good,50.786000,511.074
83,read,ns=2;s=SDPLC.tank.level,Good,50.786000,498.800
84,read,ns=2;s=SDPLC.tank.level,Good,50.786000,486.049
85,read,ns=2;s=SDPLC.tank.level,Good,50.786000,482.300
86,read,ns=2;s=SDPLC.tank.level,Good,50.786000,477.823
87,read,ns=2;s=SDPLC.tank.level,Good,50.786000,460.986
88,read,ns=2;s=SDPLC.tank.level,Good,50.786000,533.859
89,read,ns=2;s=SDPLC.tank.level,Good,50.786000,565.961
90,read,ns=2;s=SDPLC.tank.level,Good,50.786000,456.029
91,read,ns=2;s=SDPLC.tank.level,Good,50.786000,510.003
92,read,ns=2;s=SDPLC.tank.level,Good,50.786000,422.489
93,read,ns=2;s=SDPLC.tank.level,Good,50.787000,411.189
94,read,ns=2;s=SDPLC.tank.level,Good,50.787000,483.255
95,read,ns=2;s=SDPLC.tank.level,Good,50.787000,463.868
96,read,ns=2;s=SDPLC.tank.level,Good,50.787000,497.615
97,read,ns=2;s=SDPLC.tank.level,Good,50.787000,511.219
98,read,ns=2;s=SDPLC.tank.level,Good,50.787000,536.134
