node_id,browse_name,data_type,writable,value
ns=2;s=SDPLC.runtime.avg_exec_us,runtime.avg_exec_us,Double,false,0.000000
ns=2;s=SDPLC.runtime.cycle,runtime.cycle,UInt64,false,0
ns=2;s=SDPLC.runtime.max_jitter_us,runtime.max_jitter_us,Double,false,0.000000
ns=2;s=SDPLC.tank.air_flow,tank.air_flow,Double,true,30.000000
ns=2;s=SDPLC.tank.concentrate_grade,tank.concentrate_grade,Double,false,82.000000
ns=2;s=SDPLC.tank.emergency_stop,tank.emergency_stop,Boolean,true,FALSE
ns=2;s=SDPLC.tank.feed_flow,tank.feed_flow,Double,true,40.000000
ns=2;s=SDPLC.tank.level,tank.level,Double,true,50.000000
ns=2;s=SDPLC.tank.motor_running,tank.motor_running,Boolean,true,TRUE
ns=2;s=SDPLC.tank.tailings_flow,tank.tailings_flow,Double,true,38.000000
