sample,operation,node_id,status,latency_us,value
0,write,ns=2;s=SDPLC.tank.air_flow,Good,539.447,42.500000
1,write,ns=2;s=SDPLC.tank.air_flow,Good,459.954,42.600000
2,write,ns=2;s=SDPLC.tank.air_flow,Good,522.080,42.700000
3,write,ns=2;s=SDPLC.tank.air_flow,Good,482.841,42.800000
4,write,ns=2;s=SDPLC.tank.air_flow,Good,558.104,42.900000
5,write,ns=2;s=SDPLC.tank.air_flow,Good,515.137,43.000000
6,write,ns=2;s=SDPLC.tank.air_flow,Good,499.155,43.100000
7,write,ns=2;s=SDPLC.tank.air_flow,Good,470.068,43.200000
8,write,ns=2;s=SDPLC.tank.air_flow,Good,514.932,43.300000
9,write,ns=2;s=SDPLC.tank.air_flow,Good,535.802,43.400000
10,write,ns=2;s=SDPLC.tank.air_flow,Good,505.579,43.500000
11,write,ns=2;s=SDPLC.tank.air_flow,Good,501.911,43.600000
12,write,ns=2;s=SDPLC.tank.air_flow,Good,497.037,43.700000
13,write,ns=2;s=SDPLC.tank.air_flow,Good,462.870,43.800000
14,write,ns=2;s=SDPLC.tank.air_flow,Good,463.577,43.900000
15,write,ns=2;s=SDPLC.tank.air_flow,Good,528.031,44.000000
16,write,ns=2;s=SDPLC.tank.air_flow,Good,525.007,44.100000
17,write,ns=2;s=SDPLC.tank.air_flow,Good,531.582,44.200000
18,write,ns=2;s=SDPLC.tank.air_flow,Good,498.170,44.300000
19,write,ns=2;s=SDPLC.tank.air_flow,Good,522.820,44.400000
20,write,ns=2;s=SDPLC.tank.air_flow,Good,507.579,42.500000
21,write,ns=2;s=SDPLC.tank.air_flow,Good,510.875,42.600000
22,write,ns=2;s=SDPLC.tank.air_flow,Good,506.493,42.700000
23,write,ns=2;s=SDPLC.tank.air_flow,Good,514.530,42.800000
24,write,ns=2;s=SDPLC.tank.air_flow,Good,467.097,42.900000
25,write,ns=2;s=SDPLC.tank.air_flow,Good,483.894,43.000000
26,write,ns=2;s=SDPLC.tank.air_flow,Good,469.406,43.100000
27,write,ns=2;s=SDPLC.tank.air_flow,Good,545.534,43.200000
28,write,ns=2;s=SDPLC.tank.air_flow,Good,497.502,43.300000
29,write,ns=2;s=SDPLC.tank.air_flow,Good,503.052,43.400000
30,write,ns=2;s=SDPLC.tank.air_flow,Good,496.063,43.500000
31,write,ns=2;s=SDPLC.tank.air_flow,Good,509.789,43.600000
32,write,ns=2;s=SDPLC.tank.air_flow,Good,488.692,43.700000
33,write,ns=2;s=SDPLC.tank.air_flow,Good,509.198,43.800000
34,write,ns=2;s=SDPLC.tank.air_flow,Good,480.506,43.900000
35,write,ns=2;s=SDPLC.tank.air_flow,Good,455.354,44.000000
36,write,ns=2;s=SDPLC.tank.air_flow,Good,481.889,44.100000
37,write,ns=2;s=SDPLC.tank.air_flow,Good,543.153,44.200000
38,write,ns=2;s=SDPLC.tank.air_flow,Good,537.409,44.300000
39,write,ns=2;s=SDPLC.tank.air_flow,Good,510.747,44.400000
40,write,ns=2;s=SDPLC.tank.air_flow,Good,517.109,42.500000
41,write,ns=2;s=SDPLC.tank.air_flow,Good,508.629,42.600000
42,write,ns=2;s=SDPLC.tank.air_flow,Good,485.909,42.700000
43,write,ns=2;s=SDPLC.tank.air_flow,Good,454.624,42.800000
44,write,ns=2;s=SDPLC.tank.air_flow,Good,470.621,42.900000
45,write,ns=2;s=SDPLC.tank.air_flow,Good,511.783,43.000000
46,write,ns=2;s=SDPLC.tank.air_flow,Good,535.013,43.100000
47,write,ns=2;s=SDPLC.tank.air_flow,Good,458.824,43.200000
48,write,ns=2;s=SDPLC.tank.air_flow,Good,495.358,43.300000
49,write,ns=2;s=SDPLC.tank.air_flow,Good,508.180,43.400000
50,write,ns=2;s=SDPLC.tank.air_flow,Good,416.164,43.500000
51,write,ns=2;s=SDPLC.tank.air_flow,Good,409.839,43.600000
52,write,ns=2;s=SDPLC.tank.air_flow,Good,461.015,43.700000
53,write,ns=2;s=SDPLC.tank.air_flow,Good,551.330,43.800000
54,write,ns=2;s=SDPLC.tank.air_flow,Good,499.441,43.900000
55,write,ns=2;s=SDPLC.tank.air_flow,Good,511.581,44.000000
56,write,ns=2;s=SDPLC.tank.air_flow,Good,460.579,44.100000
57,write,ns=2;s=SDPLC.tank.air_flow,Good,470.066,44.200000
58,write,ns=2;s=SDPLC.tank.air_flow,Good,490.936,44.300000
59,write,ns=2;s=SDPLC.tank.air_flow,Good,504.846,44.400000
60,write,ns=2;s=SDPLC.tank.air_flow,Good,502.444,42.500000
61,write,ns=2;s=SDPLC.tank.air_flow,Good,521.145,42.600000
62,write,ns=2;s=SDPLC.tank.air_flow,Good,496.811,42.700000
63,write,ns=2;s=SDPLC.tank.air_flow,Good,545.605,42.800000
64,write,ns=2;s=SDPLC.tank.air_flow,Good,500.690,42.900000
65,write,ns=2;s=SDPLC.tank.air_flow,Good,552.982,43.000000
66,write,ns=2;s=SDPLC.tank.air_flow,Good,537.204,43.100000
67,write,ns=2;s=SDPLC.tank.air_flow,Good,497.427,43.200000
68,write,ns=2;s=SDPLC.tank.air_flow,Good,472.463,43.300000
69,write,ns=2;s=SDPLC.tank.air_flow,Good,487.822,43.400000
70,write,ns=2;s=SDPLC.tank.air_flow,Good,501.516,43.500000
71,write,ns=2;s=SDPLC.tank.air_flow,Good,466.987,43.600000
72,write,ns=2;s=SDPLC.tank.air_flow,Good,448.337,43.700000
73,write,ns=2;s=SDPLC.tank.air_flow,Good,535.712,43.800000
74,write,ns=2;s=SDPLC.tank.air_flow,Good,439.644,43.900000
75,write,ns=2;s=SDPLC.tank.air_flow,Good,485.705,44.000000
76,write,ns=2;s=SDPLC.tank.air_flow,Good,467.770,44.100000
77,write,ns=2;s=SDPLC.tank.air_flow,Good,551.011,44.200000
78,write,ns=2;s=SDPLC.tank.air_flow,Good,546.287,44.300000
79,write,ns=2;s=SDPLC.tank.air_flow,Good,507.401,44.400000
80,write,ns=2;s=SDPLC.tank.air_flow,Good,530.553,42.500000
81,write,ns=2;s=SDPLC.tank.air_flow,Good,513.964,42.600000
82,write,ns=2;s=SDPLC.tank.air_flow,Good,529.863,42.700000
83,write,ns=2;s=SDPLC.tank.air_flow,Good,473.775,42.800000
84,write,ns=2;s=SDPLC.tank.air_flow,Good,515.524,42.900000
85,write,ns=2;s=SDPLC.tank.air_flow,Good,548.652,43.000000
86,write,ns=2;s=SDPLC.tank.air_flow,Good,543.447,43.100000
87,write,ns=2;s=SDPLC.tank.air_flow,Good,471.939,43.200000
88,write,ns=2;s=SDPLC.tank.air_flow,Good,462.513,43.300000
89,write,ns=2;s=SDPLC.tank.air_flow,Good,422.686,43.400000
90,write,ns=2;s=SDPLC.tank.air_flow,Good,433.598,43.500000
91,write,ns=2;s=SDPLC.tank.air_flow,Good,472.978,43.600000
92,write,ns=2;s=SDPLC.tank.air_flow,Good,438.840,43.700000
93,write,ns=2;s=SDPLC.tank.air_flow,Good,423.275,43.800000
94,write,ns=2;s=SDPLC.tank.air_flow,Good,391.886,43.900000
95,write,ns=2;s=SDPLC.tank.air_flow,Good,381.258,44.000000
96,write,ns=2;s=SDPLC.tank.air_flow,Good,390.494,44.100000
97,write,ns=2;s=SDPLC.tank.air_flow,Good,386.050,44.200000
98,write,ns=2;s=SDPLC.tank.air_flow,Good,392.567,44.300000
99,write,ns=2;s=SDPLC.tank.air_flow,Good,431.571,44.400000
