cycle,level,air_flow,feed_flow,tailings_flow,concentrate_grade,emergency_stop,motor_running
0,50.001,30.000,40.000,38.000,82.050,false,true
1,50.002,30.000,40.000,38.000,82.050,false,true
2,50.003,30.000,40.000,38.000,82.050,false,true
3,50.004,30.000,40.000,38.000,82.050,false,true
4,50.005,30.000,40.000,38.000,82.050,false,true
5,50.006,30.000,40.000,38.000,82.050,false,true
6,50.007,30.000,40.000,38.000,82.050,false,true
7,50.008,30.000,40.000,38.000,82.050,false,true
8,50.009,30.000,40.000,38.000,82.050,false,true
9,50.010,30.000,40.000,38.000,82.050,false,true
10,50.011,30.000,40.000,38.000,82.050,false,true
11,50.012,30.000,40.000,38.000,82.050,false,true
12,50.013,30.000,40.000,38.000,82.050,false,true
13,50.014,30.000,40.000,38.000,82.050,false,true
14,50.015,30.000,40.000,38.000,82.050,false,true
15,50.016,30.000,40.000,38.000,82.050,false,true
16,50.017,30.000,40.000,38.000,82.050,false,true
17,50.018,30.000,40.000,38.000,82.050,false,true
18,50.019,30.000,40.000,38.000,82.050,false,true
19,50.020,30.000,40.000,38.000,82.050,false,true
20,50.021,30.000,40.000,38.000,82.050,false,true
21,50.022,30.000,40.000,38.000,82.050,false,true
22,50.023,30.000,40.000,38.000,82.050,false,true
23,50.024,30.000,40.000,38.000,82.050,false,true
24,50.025,30.000,40.000,38.000,82.050,false,true
25,50.026,30.000,40.000,38.000,82.051,false,true
26,50.027,30.000,40.000,38.000,82.051,false,true
27,50.028,30.000,40.000,38.000,82.051,false,true
28,50.029,30.000,40.000,38.000,82.051,false,true
29,50.030,30.000,40.000,38.000,82.051,false,true
30,50.031,30.000,40.000,38.000,82.051,false,true
31,50.032,30.000,40.000,38.000,82.051,false,true
32,50.033,30.000,40.000,38.000,82.051,false,true
33,50.034,30.000,40.000,38.000,82.051,false,true
34,50.035,30.000,40.000,38.000,82.051,false,true
35,50.036,30.000,40.000,38.000,82.051,false,true
36,50.037,30.000,40.000,38.000,82.051,false,true
37,50.038,30.000,40.000,38.000,82.051,false,true
38,50.039,30.000,40.000,38.000,82.051,false,true
39,50.040,30.000,40.000,38.000,82.051,false,true
40,50.041,30.000,40.000,38.000,82.051,false,true
41,50.042,30.000,40.000,38.000,82.051,false,true
42,50.043,30.000,40.000,38.000,82.051,false,true
43,50.044,30.000,40.000,38.000,82.051,false,true
44,50.045,30.000,40.000,38.000,82.051,false,true
45,50.046,30.000,40.000,38.000,82.051,false,true
46,50.047,30.000,40.000,38.000,82.051,false,true
47,50.048,30.000,40.000,38.000,82.051,false,true
48,50.049,30.000,40.000,38.000,82.051,false,true
49,50.050,30.000,40.000,38.000,82.051,false,true
50,50.051,30.000,40.000,38.000,82.051,false,true
51,50.052,30.000,40.000,38.000,82.051,false,true
52,50.053,30.000,40.000,38.000,82.051,false,true
53,50.054,30.000,40.000,38.000,82.051,false,true
54,50.055,30.000,40.000,38.000,82.051,false,true
55,50.056,30.000,40.000,38.000,82.051,false,true
56,50.057,30.000,40.000,38.000,82.051,false,true
57,50.058,30.000,40.000,38.000,82.051,false,true
58,50.059,30.000,40.000,38.000,82.051,false,true
59,50.060,30.000,40.000,38.000,82.051,false,true
60,50.061,30.000,40.000,38.000,82.051,false,true
61,50.062,30.000,40.000,38.000,82.051,false,true
62,50.063,30.000,40.000,38.000,82.051,false,true
63,50.064,30.000,40.000,38.000,82.051,false,true
64,50.065,30.000,40.000,38.000,82.051,false,true
65,50.066,30.000,40.000,38.000,82.051,false,true
66,50.067,30.000,40.000,38.000,82.051,false,true
67,50.068,30.000,40.000,38.000,82.051,false,true
68,50.069,30.000,40.000,38.000,82.051,false,true
69,50.070,30.000,40.000,38.000,82.051,false,true
70,50.071,30.000,40.000,38.000,82.051,false,true
